"id","context","class","date_min","date_max","taf_score","phase","phase_dom_class","atypical","intrusion_prob","direction","chrono_gap","intrusion_type"
"VRPG_0430","US_204","Reperto Ceramico",450,550,0.5,3,"Reperto Ceramico","no",1,"in_context",0,"outlier_in_context"
"VRPG_0431","US_204","Materiale Da Costruzione",450,550,0.5,3,"Reperto Ceramico","yes",1,"in_context",0,"outlier_in_context"
"VRPG_0432","US_204","Reperto Ceramico",450,550,0.5,3,"Reperto Ceramico","no",1,"in_context",0,"outlier_in_context"
"VRPG_0433","US_204","Reperto Ceramico",450,550,0.5,3,"Reperto Ceramico","no",1,"in_context",0,"outlier_in_context"
"VRPG_0435","US_21","Reperto Ceramico",138,179,0.5,3,"Reperto Ceramico","no",1,"in_context",0,"outlier_in_context"
"VRPG_0436","US_21","Materiale Da Costruzione",138,179,0.5,3,"Reperto Ceramico","yes",1,"in_context",0,"outlier_in_context"
"VRPG_0489","US_276","Reperto Metallico",180,324,1,3,"Reperto Ceramico","yes",1,NA,NA,"outlier_in_context"
"VRPG_0543","US_302","Materiale Da Costruzione",180,324,0.5,3,"Reperto Ceramico","yes",1,"in_context",0,"outlier_in_context"
"VRPG_0544","US_302","Reperto Anforaceo",180,324,0.5,3,"Reperto Ceramico","yes",1,"in_context",0,"outlier_in_context"
"VRPG_0417","US_173","Materiale Da Costruzione",324,425,1,1,"Reperto Ceramico","yes",1,NA,NA,"outlier_in_context"
